,Comment,Sentiment
1174,Yup I’m sold I love this stuff. Grace you are in trouble,Positive
1175,10:21 10:22 imao 🤣🤣,Neutral
1176,"😐






Haaaaa Haaaaa why are you not haaaa",Neutral
1177,"*pats him on the back... ""there, there"" :D",Positive
1178,U both are really doing good... Love from India...💝,Positive
1179,Imagine if she accidentally took the wrong one lol,Negative
1180,Hhhhhh hiccup,Neutral
1181,Gosh she is laughing,Positive
1182,Feeling  the spicy,Positive
1183,"I did unsubscribe after he did similar to her, if she was my sister i would definitely send him to hospital that time. Today, this video poped out on me and it is one of the most satisfying videos i have seen. That littlegirlcrying of his is perfect. She was desperate that time, this time i can say: well done, justice has been served.",Positive
1184,je viens de découvrir la vidéo et je l'adore donc je vais m'abonner,Neutral
1185,Payback for putting that spicy sauce in her mcdonalds burger 😂😂😂😂,Neutral
1186,Haaaaaaa haaaaaaaa haaaaaa haaaaaayyyy huuuyyyaaaaa!!!! 😂😂💦,Neutral
1187,At 10:21 slaiman knew he fucked up,Negative
1188,AAAHHHHHHH,Neutral
1189,Idk y but the thumbnail reminds me of ‘the twits’ like if u know what that book is :):),Positive
1190,"Not giving him water or any sort of relief and literally turning the water off when he was clearly in pain is just going way to far. She didn't have to go that far and if I was him Id dump her ass immediately. And before you say ""oh they prank each other all the time"" or ""hes done worse to her"" thats just bs. If they are so keen on hurting each other for LAUGHS then they should not be together. This isnt funny one bit and she really seems like a sadistic bitch. Yeah pranks on your significant other can be funny and fun to do and play out but this is just to far. Its not fun nor funny. She clearly wanted to cause him an insane amount of pain.",Negative
1191,This is one sick stuff acting as nurse when he is about to die and to start with poison him like that.. this prank is painful and one is deriving pleasure out of it. Slap the shit out of her,Negative
1192,Your a dumb,Negative
1193,Why she couldn't pretend it.....her bowl was super spicy as well. So dumb,Positive
1194,I love this video but she doesn’t think this was a little dangerous cause that’s kinda too hot,Negative
1195,오불닭볶음면 한국 라면 ..!! oh that spicy nuddle is made in korea ~~~,Neutral
1196,Just imagine she got backfire 😂😵😱,Neutral
1197,those hot sauces are not hot...they actually suck. and those noodles I eat when I'm hungry and I add chillies and green onion to mine....these people are soft as fuck,Negative
1198,10:49,Neutral
1199,His voice when he goes ah ah oh my god,Positive
1200,This is the best!,Positive
1201,That seems really dangerous,Negative
1202,Gives slaiman the wrong bowl.,Negative
1203,:( I hate this brother sister siblings shit,Negative
1204,His screams in 10:49 made me choke from laughing so much😂,Negative
1205,I would've knocked everything of the table and recked everything in the house lol,Positive
1206,Worst girlfriend ever lmao that’s not revenge that’s murder.lol,Positive
1207,Where i find those peppers sauce,Neutral
1208,"Kate, just let him know you will do this again to him if he gets out of line. If he causes you to shed one tear, you cause him to shed one back with this weapon. He'll straighten up. LOL",Positive
1209,Sarap nyaho lada lain bere nginum mah pea,Neutral
1210,Find a new bf....that one is suspect,Negative
1211,I think she wants to kill her bf,Negative
1212,How the hell do you guys stay together????,Negative
1213,😂😂😂😂 looks like you're wearing lipstick,Positive
1214,HE NEAD SOME MILK,Neutral
1215,"People need to relax. 1. He didnt eat the whole bowl of ramen 2. Is not the first couple who makes this kind of prank. Other people use the most hot pepper in the whole world... If you dont like their pranks, dont watch then",Positive
1216,no noodle juice,Negative
1217,Murder?!!??,Neutral
1218,“You’re going down buddy” literally 🤣😂😂🤣,Neutral
1219,SHE PUT SO MUCH DANG HOT SAUCE ON THEM NOODLES HOLY FRICK!!,Neutral
1220,XD,Positive
1221,he is moaning like hes having sex like if u agree,Positive
1222,Hahah. It’s such a treat watching Slaiman. He is an amazing actor with such a great sense of humour. One of the few channels where I watch videos more than once. You should post videos more often.,Positive
1223,I don't think this is funny I've seen it gone bad in seconds you over done it too much spice can make someone blackout without fluid,Negative
1224,Brooo tbh that honestly looks good 🔥😋,Positive
1225,too soft i would have put all the hot sause,Neutral
1226,It looks acted,Neutral
1227,"To the people saying this is dangerous, I think you're making it out to be worse than it is. I mean look at Hot Ones. They interview celebrities while the interviewer and the celebrity eat spicy chicken wings. The hottest one is 1000000000+ scoville units. And the top 4 hottest all have 100000+ scoville units. And countless celebrities have done this, and the interviewer has done it literally hundreds of times. So unless slaiman had an allergic reaction, he wouldn't have died. Getting rid of all the drinks in the entire house was a bit of a sadistic touch though. That was a little much.",Negative
1228,The camera wasn't even on -_-,Neutral
1229,Omg best prank so far hahahaha i couldn't stop laughing I love you kate,Neutral
1230,he still technically won the challenge,Positive
1231,“Super harsh punishment” ended up with iPhone xs 😂,Negative
1232,he was screaming like a girl ahhhh,Neutral
1233,He literally screams like a 10 year old girl..😂😂😂,Positive
1234,4:59 He ain't going to be able to relax after this XD,Positive
1235,His prank was too much? Your brake up prank with him was too far.,Neutral
1236,Might as well put a coralina reaper in there,Positive
1237,It would be funny if she got them swapped,Positive
1238,Them noodles dry as my text messages.,Neutral
1239,10:21 he sounds like a bitch xD,Positive
1240,What a pussy,Neutral
1241,10:48 at 0.25x speed is hilarious omagosh I cant breathe,Positive
1242,I like the vids but she went wayyy too far with this u dont joke around with hot sauce that hot even when she was warned bout it n no he didnt deserve it n when she removed everything to drink like omg thats soo dumb ! She also said that shes smarter than him n im pretty sure he wouldnt do that kinda stuff to her so no ur not smarter,Positive
1243,That could actually have killed him,Negative
1244,That scream omg i love it haha,Positive
1245,Lol his screaming,Positive
1246,10:50 Hahahaha slaiman,Neutral
1247,Why are u guys drinking water?... when ur eating spicy food u need dairy..... u shuold be drinking milk....!!!,Neutral
1248,Imagine if she forgot which bowl is the bad one and ends up with the extra spicy one LMFAOOOO,Negative
1249,Thats a little to far in my opinion..,Neutral
1250,slaiman dont drink water if somethings spicy it will make it worse drink milk or eat bread that helps,Negative
1251,"If it Hurst going in, it hurts coming out",Negative
1252,This woman is a complete idiot,Negative
1253,"goddamn, samyang is already very hot as it already is. now 3 sauces of spice added? ugh...i would die if i tried that xD",Negative
1254,It's not rlly funny...,Neutral
1255,Starts at 9:48,Neutral
1256,"His cry is so genuine it’s weird.
Sub to my channel",Negative
1257,Haaaaa! It's so Hot LOL!!! Haaaaa!,Positive
1258,You should have given him water cause that amplifies the spice by alot,Neutral
1259,This is funny 😂😂😂,Positive
1260,Haha 😂😂😂,Positive
1261,Women empowerment,Neutral
1262,"Milk really helps when you have something spicy and burns up your whole mouth and nasal cavity , water doesn't. For next time slaiman if you know what i mean😂",Positive
1263,Kate ur acting is complete shit,Negative
1264,It’s all fun in games until one of them dies from ligma,Positive
1265,"If you ate something spicy, don’t drink water or milk, eat something sweet like candy. It reverses the burning sensation",Positive
1266,It sounds like a girl screaming,Neutral
1267,"This could have actually exploded his organs, this could have resulted in a serious stomach disorder or an actual death",Negative
1268,Slaiman screming like a girl,Positive
1269,Hahaha,Positive
1270,i feel bad for his butthole for the next day😂😂,Negative
1271,your gonna kill him....?,Negative
1272,You can kill someone with hot sauce,Negative
1273,Haaaaaaaa haaaaa,Neutral
1274,Hahahahhhah,Neutral
1275,He could of died from intergalactic shock,Negative
1276,When you were preparing the noodles I could almost taste the heat in my mouth,Neutral
1277,Screaming like a girl😂😂,Neutral
1278,"I thing your boyfriend acting like a gay, I thing he is gay",Positive
1279,I ate the 2x spice alone without those extra sauces and I was dying,Negative
1280,Your boyfriend is the biggest bitch I have ever seen he is crying like wtf,Negative
1281,It looks like hes gona cry,Negative
1282,"Thats nothing, I usually eat like *2 Millions SHU* , try it too, its so delicious :3",Positive
1283,he cried,Negative
1284,she's literally torturing him,Negative
1285,"Roses are red 
Violets are blue
You guys are cool
I wish i was too",Positive
1286,I love katie❤,Positive
1287,but he's having really bad time!,Negative
1288,She is evil,Negative
1289,Thats not even funny!,Negative
1290,"I ate a spoonful of wasabi once, for those people that can handle spice.... food for you, because my reaction was as good as Sleimans.",Positive
1291,Prank idea....make a meal for kate and tell kate you used toilet water,Neutral
1292,Some help this girl,Positive
1293,Hahaha,Positive
1294,Now she shall try these EXTRA Spicy noodles and see how she do,Neutral
1295,13:51 you need to take a dump? lol,Positive
1296,Thats so funny,Positive
1297,Its 100.00 on the scolville scala what do you expect. That even a Baby can eat that? 🤣,Neutral
1298,Kate please prank Slaiman more!!💕💕💕,Positive
1299,I felt so bad for Slaiman in advance,Negative
1300,😿😿😿😿😿😿😿😿😿😿😿😿😿😿😿😪😪😪😪😪😪😪😪😪,Neutral
1301,I feel sooooooo very bad for Slaiman 😿😰😥😓😱😨😨😨😨😨😨😨😭😭😭😢😭😢😩😫😩😫☹️😞☹️😞,Negative
1302,KATE IS A IDIOT IF HE SAYS HE CANT BREATH WHAT THE HECK IS WRONG WITH HER SHE IS A HORRIBLE PERSON,Negative
1303,This is so funny 😂😂😂😂😂😂,Positive
1304,😂😂😂,Neutral
1305,Are you trying to kill him??,Negative
1306,Ahhhhhhhhh hehehe that laugh dho,Positive
1307,Are you from Aus?,Neutral
1308,Haaahhaaah its so hot🤣🤣 its killing me when he says haaah haah haaah🤣🤣,Negative
1309,Soooooo cruel,Negative
1310,Kate this is reall...  Huhhh huhhh,Neutral
1311,Some spicy foods are 8 million,Neutral
1312,"WTF KATE, YOU CAN'T JUST PUT SO MUCH SAUCE! -_-",Negative
1313,"dont have water u saussge, u need non polar chemicals like milk",Positive
1314,10:21 and 10:22😂😂,Neutral
1315,10:48 when a child was born through his nose. RIP.,Neutral
1316,My pizza was supposed to be here 30 minutes ago.,Neutral
1317,"Kate, it is payback time!!! He deserved that and more. Very well done!",Positive
1318,U know water makes spice worst right?,Negative
1319,He scream like a woman.,Negative
1320,"God damn, Slaiman your reaction was funny as fuck hahaha daaaamn.",Positive
1321,Idk why but i laught sooooo haaaarddd on that,Negative
1322,Why dont you just take from the tap in the bathroom?,Neutral
1323,She was like a 9 Year old getting  her presents,Positive
1324,Imagene if he knew what she was doign and turned them around,Neutral
1325,Kate what did you do to him you are mean but you are very pretty xx,Positive
1326,Just a little more 😂,Neutral
1327,"Hey lady this is not funny ...you don't know what your doing.he said that he can't breath but you just laughing you almost kill him.saying babe,babe,babe does'nt help at all.i think all viewers are panic while watching the vedio but you just laughing idiot",Negative
1328,This is the funniest one ever!! Go Kate lol!!!,Positive
1329,R u 2 Brocken up yet,Neutral
1330,Haha nice 1 girl,Positive
1331,Karma,Neutral
1332,"""Yeah I'll be diluting it... with other hot sauces 💁🏼‍♀️"" LOL",Positive
1333,"Dude these noodles aren’t even hot, I eat the 4x there’s times a week",Neutral
1334,lmfaoooo i was dying the whole time,Neutral
1335,His gf is so annoying tf,Negative
1336,water makes it worse,Negative
1337,HAAAAA “it’s hot!...HAAA”,Neutral
1338,I watch a lot of nonsense on YouTube. This was worth the watch! 🤣🤣🤣,Negative
1339,SHE PUT SOOOOOOOOOOOOOO MUCCCCCCCHHHHHHHH,Neutral
1340,This is something your ex would do,Neutral
1341,Katie 1 slaiman 0,Neutral
1342,It'll be worse coming out than going in 🤣,Negative
1343,"Kate:Oh shit oh shit


Time to like my own comment",Negative
1344,New video from Whealth by Slaiman : MY GIRLFRIEND DIVORCED ME (SHE GOT REVENGE!),Neutral
1345,"Lolz!! I got an Etoro ad and it said: ""Find Your Steve""

Specifically this ad: https://www.youtube.com/watch?v=bDjMglV3-7Y",Positive
1346,"Haha dangerous....too much hot 
I can't breath too...",Positive
1347,Slime-Man squeeled like a little b***h lol. Moy tung iz on foy r.,Positive
1348,His reaction at 10:20...,Neutral
1349,funny prank but shes a dumbass. literally the seller warned her,Negative
1350,I feel so bad for slaiman,Negative
1351,This was so funny 😂,Positive
1352,Water would’ve made it worse anyway,Negative
1353,Hahaha hahaha hahaha hahaha hahaha hahaha hahaha hahaha hahaha his screaming 😂😂😂😂😂😂😂,Positive
1354,10:21 Thats like Shrek,Positive
1355,"This is some of the best shit I have seen!! Wow! Kate got you - Hahahahahaha ; ))  Sound like a girl much? At least you won, eh....",Positive
1356,STUPID CUNT.      YOU SHOULD DUMP HER ASS.    FUCKERY.  NEVER HAVE CHILDREN WITH HER VILE ASS.,Negative
1357,Do you need to take a dump? 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,Negative
1358,This actually just makes me mad,Negative
1359,"""is it that bad"" don't go off on me but she is a b for doing that",Negative
1360,your evil,Negative
1361,This is so not funny.,Negative
1362,10:22 that stereo typical English women shout tho 🔥🤣,Neutral
1363,Yo bro prank your girlfriend by acting died plz,Negative
1364,"Good one, Kate.",Positive
1365,"""Its so hot!"" *eats more.*",Neutral
1366,Kait that was not funy😲,Neutral
1367,😂😂😂😂,Neutral
1368,Hahhaahaah OMG I love his reactions.  Hahaah so cute..  Laughed so so much Ohh gosh,Positive
1369,this is so dangerous lol and i hope this video isnt monetized.,Positive
1370,"I counted the Scoville units all together and WOOOOOO 
10,360,000 WOOOO 
So if you A STUPID LITTLE RAT   wanted your boyfriend to die go ahead....
He’s not okay deep breathes are not gonna help not funny I’m ubsubbing can’t see someone die on this channel....",Negative
1371,Wow she's a *****,Positive
1372,"Yeah I know this is mean but... 



He does more mean things to his girlfriend you know",Positive
1373,the ending had me dead “babe babe babe .... served you right” *video ends* lmao,Negative
1374,10:21 😂,Neutral
1375,When taco bell ads come up and your in england.,Neutral
1376,I actually feel sorry,Negative
1377,I didnt like this,Negative
1378,god this shit is unwatchable,Negative
1379,Turning the water off was a bit over the top 😂😂,Positive
1380,you so mean,Neutral
1381,For some reason I've lost even more faith in humanity.. Prank your girlfriend or boyfriend sure but you dont need to post it for the world to see.. Unless you just want attention 👋,Positive
1382,Loooool,Neutral
1383,You two couple are doing many prank each other but actually thats not prank coz both of you already plan to make video and telling each other act naturally so that people should think this is real.,Neutral
1384,That is way to harsh,Negative
1385,Poor slaiman crying like a nine year old girl hehehe payback really is a b***h,Negative
1386,Haaaaaaaaa haaaaaaaaa haaaaaaaaa haaaaaaaaa,Neutral
1387,Slaiman still won lol,Positive
1388,he doesn't even deserve it this could be deadly the ex shit isn't even bad like bruh its an ex if he wants to go he can go with his ex fuck it bruh like you shouldn't care if he doesn't but like dude come on he didn't deserve this,Negative
1389,"he should of swapped bowl with hers and said u could of put something in. i don't trust u, so can have my bowl and ill have ur bowl. she would of been gobsmacked!!",Negative
1390,she ?got revenge?,Negative
1391,O guys u r so funny ha ha ha ha nice 😂😂😂😂😂😂😂 I m from    . India,Positive
1392,Wow... that's mean lol...no drinks:(,Neutral
1393,Jesus... I have a hot sauce that is 6mln scoville and I can eat it no problem these people are pussies,Negative
1394,여기서 핵불닭볶음면을 보다니ㅋㅋ,Neutral
1395,He was in on it. THE INTERNET IS A DISHONEST CUNT.,Negative
1396,Uhmmm plss Steve give spicy noodles plsss😍😍I'm hungry,Neutral
1397,"cheeķy , unmatured girĺ",Neutral
1398,"someone help
ma ribs are breaking


where is the water??
I turned the tap off

l almost fainted",Positive
1399,This vid was soo funny!! Luv you guys 🤩,Positive
1400,his butthole has probably been swelling up to now,Neutral
1401,"she’s annoying . “iS iT thAt bAd “ obviously , you try it . do you not see how much pain he was in .",Negative
1402,you cruel women lol,Negative
1403,Horrible.,Negative
1404,Creased at this and it’s 1.16am😂😂,Neutral
1405,Lol  nice 1 Kate,Positive
1406,My dad came in and thought I was watching porn because at 10:22-10:26 it sounded like Slaiman was moaning lol 😂,Positive
1407,"I would like to say that it's not a jest, since these spicy stuff is really dangerous and children like you Kate must not touch it.... Stupidity is over in this video🤬🤬🤬",Positive
1408,Omg its a joke🙄🙄❤ #People take a Chill Pill💕,Neutral
1409,How have I never been in a relationship before?,Neutral
1410,LMAO HE IS GETTING GREEN,Positive
1411,OHH OH MI GOD,Positive
1412,Aww I feel pitty for slaiman 😔,Neutral
1413,sad but can't stop laughing,Negative
1414,Omg!!!!,Neutral
1415,"You should be thankful , she gave you content!",Positive
1416,verry Fuunnnnyyyyyy,Neutral
1417,I feel bad for slaiman but this was hilarious 😂😂😂,Positive
1418,10:49 ???? wtf,Negative
1419,This just makes me want spicy noodles 😂😂,Positive
1420,Imagine if he switched the bowls...,Neutral
1421,STOP FILMING,Negative
1422,don't waste food..,Positive
1423,Kate very bad😢,Neutral
1424,It's so cruel to do to a loved one,Neutral
1425,She was stupid for this prank it could have been so much worse...why take away all the water?!?!,Negative
1426,‘Serves you right’ = savage,Negative
1427,"Kate, please do put pepper spray on the toilet paper and let it dry and put inside his bathroom 🚽",Positive
1428,I like what she did to him 😂,Positive
1429,Is Kate persian?,Neutral
1430,Bruh at least let him get a drink!,Neutral
1431,"Dont drink water after eating spicy shit, the only thing that does is make the heat go deeper into your throat.
drink milk instead.",Negative
1432,HAH.....HAH....that's not someone laughing that's slaiman scream when he realised he fucked up lmao,Negative
1433,Stupid,Negative
1434,Saliman totally won,Positive
1435,"I hate her, she killed her boyfriend",Negative
1436,"""why do you suck at this""     hahahahahaha",Negative
1437,I guess you're kidding I do not think this is real this representation,Positive
1438,Hahaha sucked in,Positive
1439,Poor Slaiman!  I love the pranks you pull on him but this was really bad.  He owes you big time. You guys are awesome and I love your channel.,Positive
1440,I seriously was in tears laughing watching this lol,Positive
1441,Har har har 😂😂 slaiman screaming sounded like one of those dudes from minecraft 😂😂,Neutral
1442,Omg I almost die 😂🤣😂,Negative
1443,This was a clever prank 😂😂,Positive
1444,this accent is so like wtf,Negative
1445,Horrible prank but those noises  never heard them before poor thing next time milk,Negative
1446,You should pour in the whole bottle of each spice,Neutral
1447,Prempuan tu bodoh..prank tak msuk akal..ingat xblh mati ke akibat trlebih pedas mcm tu....btul2 bodoh..cuba bagi dia..dia rasa apa..kesian lelaki tu,Neutral
1448,She is so bad,Negative
1449,Girlfriend she is evil doing that,Negative
1450,"Piece of shit, he can actually be killed if he ate that whole bowl",Negative
1451,thats soo bad to do to your bf,Negative
1452,"A wise prankster once said

“Girls get pranked and hurt emotionally, guys get pranked and hurt physically.”",Negative
1453,Bro you trying to burn his tongue off,Neutral
1454,She’s not even eating,Neutral
1455,well...if this guy had hemorrhoids....i am sorry for his ass right now lol,Negative
1456,I'm spice prof and I can not find spicy 🌶 rami noddles I love frAnkes red hot sauce and I am eating homemade nachos with hot sauce on it lol nice video I'm not that spice proof mainly but of course the stuff you gave him lol,Positive
1457,His bowl is literally a different color!,Neutral
1458,Im dying!! 😂😂😂,Neutral
1459,Would someone pls give this man some milk😂,Positive
1460,kate tried to kill slaiman so she can go with steve,Negative
1461,hey,Neutral
1462,Removing from my recomendation and unsubscribing. Its basically killing each other,Negative
1463,"Yo Kate you draggedddddd it . Emptied the ice tray, turned off the sink, and no water in the container . Also adding the extra skull spice hot sause .",Negative
1464,This is making me more hungry but I just had spaghetti .😀😂👅👅👅,Neutral
1465,Hahahahaha,Neutral
1466,Lmfao!!!!!!!😂🤣,Neutral
1467,Keep staring at slaimans lips they turn redder,Neutral
1468,He’s gay,Neutral
1469,I died laughing watching this hahahahahaha,Negative
1470,"KATE! You are fucking QUEEN! Omg savage level 11/10. You two are sadists. I love you both. xD
Best video",Positive
1471,"See, THIS is a joke, not the super harsh SHITS that you guys take on each other.",Negative
1472,Hahaha,Positive
1473,Lol kate is bloody retarded. Pisses me off when she goes like” is it really that hot? “ lol what a dumbass,Negative
1474,Kate because of this I subscribed just right now! Lol. Before I am just watching your videos but because of this video? You made me click subscribe. Lol! Love it!!,Positive
1475,u wanna him to die ..,Negative
1476,My teacher said that milk is good against spicy and not water,Positive
1477,haaaaaaaaaaaaaaaaaaaaaa haaaaaaaaaaaaaaaaaaaaaaaaaa,Neutral
1478,Hahahahahahahahahhahahahahahhahahahhahahahahaha..............he is crying,Negative
1479,Milk helps any strong stuff trust me,Positive
1480,"Hahaha OMGOSH 😨 HAHA I do feel sorry for you Slaiman but you guy's have really made me laugh so much. Thankyou for making my cold Monday morning in England a laugh, I have tear's in my eye's as l'v laughed so much.
 Bless him but Kate your so Great. I think your a brilliant gorgeous couple together. Have a Great Day guy's. X",Positive
1481,Slaiman pull out a homo prank,Neutral
1482,He should have pretended to get REALLY SICK (like die) to get her back😹,Negative
1483,Imagine she gave her self the wrong one,Negative
1484,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,Neutral
1485,This is my favorite video on this channel hands down 🙌😂,Positive
1486,never do it again...it's so dangerous....:[,Neutral
1487,I never thought I'd say this but #TEAMKATE,Neutral
1488,Omg IM LITERALLY DYING I NEVER HEARD SOMEONE SCREAMING LIKE THAT OMG,Positive
1489,Mans ego its soo hot but i aint loosing takes another bite,Neutral
1490,"Idc I just want to eat it hole 🙂. I'm hungry as fuck now Damn it fucccccccck



Eat it bitch 😁",Negative
1491,he could've been hospitalized with what u did ur so dumb and stupid and ur SOOOO busy with ur revenge?? what kind of person are u,Negative
1492,good prank katie,Positive
1493,"I feel sorry for Slaiman 






Kate you 🖕🏻",Negative
1494,I never do this with my husband oh my gosh 😒i Don't like this prank.,Negative
1495,"If there’s no drinks, he can eat mayonnaise, ice cream, cheese, yoghurt, cream, etc.... (instead of just standing there doing nothing)",Negative
1496,kkkkkkkkkk,Neutral
1497,Oh dear Lord forgive me for laughing🙏🏼💀,Positive
1498,I tried that type of Korean Ramon and I DIED! It was so hot! 😂💀,Negative
1499,That screaming tho hahaahah,Negative
1500,Who took like so many screenshots,Positive
1501,HAAAAAAAAA      HAAAAAAAAAAAAAAAAAAAAAAAAAAAA    HAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Neutral
1502,Took an L,Neutral
1503,Omg I was laghing soooooo much 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,Neutral
1504,autistic,Neutral
1505,One of my favourite prank ever hahaha nice job,Positive
1506,Lmao he turned into a female real quick 😂,Positive
1507,Hahaha nice revenge,Positive
1508,He screams like a girl. fcukkkk,Positive
1509,Omg this was literally the funniest thing I’ve ever seen his scream killed me 😂😂😂😂,Negative
1510,"Subscribe for thos who not!!
 Numbah one fanss
From Philippines",Neutral
1511,I just woke my children up crying laughing at this video. I haven't laughed this hard in AGES!,Negative
1512,fttt gyi,Neutral
1513,She is evil,Negative
1514,Dead haaaaaaaa 😂😂😂😂😂,Negative
1515,Water makes it worse. Get milk and bread.,Negative
1516,😂😂,Neutral
1517,I’ll broke up if someone do this with me 😠,Negative
1518,He says they are really spicy but of course being Slaiman he decides to take another mouthful,Neutral
1519,Hahahah look at slaiman's face.. his voice is literally changed 😂,Neutral
1520,Kate you should have given yourself normal noodles 😂,Neutral
1521,This nigga gay,Neutral
1522,10:48 Kate this is really hahhhhh hahhh 😂,Neutral
1523,Hot heat running down his body,Neutral
1524,11 14 is the best,Positive
1525,"secret :


gay 😂😂😂

haaaa haaaa haaaa",Neutral
1526,"secret :


gay 😂😂😂

haaaa haaaa haaaa",Neutral
1527,Those nudles look so good,Positive
1528,OMG katty you got him so so good lol 😂,Positive
1529,pussy haha,Positive
1530,lmfao she got you good!!!!!!!!,Positive
1531,Ha ha ha ha.i love this video  good job kate,Positive
1532,this wasn't right. it was very harmful. please be more careful next time you consider a prank.,Positive
1533,Wait did he tap out ...?,Neutral
1534,I had to turn the volume down because his screams were like he was being penetrated by a someone,Positive
1535,I'm pity slaiman omh,Negative
1536,I'm dying of laughter for Slaiman's screams!!!,Positive
1537,Such a gooooood acting,Neutral
1538,The best video that i watched  today hahaha u really killed me 😂😂😂😂😂,Positive
1539,this is my favorite video on this channel haha bravo kate,Positive
1540,Babe!!!! I can’t breathe!!!! “Tap out tap out” tap out tap out tap out tap out tap out  tap out tap out tap out tap out tap out  tap out tap out tap out tap out tap out  tap out tap out tap out tap out tap out  tap out tap out tap out tap out tap out  tap out tap out tap out tap out tap out  tap out tap out tap out tap out tap out  tap out tap out tap out tap out tap out  tap out tap out tap out tap out tap out  tap out tap out tap out tap out tap out out  tap out tap out tap out tap out tap out  tap out tap out tap out tap out tap out  tap out tap out tap out tap out tap out  tap out tap out tap out tap out tap out  tap out tap out tap out tap out tap out  tap out tap out tap out tap out tap out out  tap out tap out tap out tap out tap out  tap out tap out tap out tap out tap out  tap out tap out tap out tap out tap out  tap out tap out tap out tap out tap out  tap out tap out tap out tap out tap out  tap out tap out tap out tap out tap out out  tap out tap out tap out tap out tap out  tap out tap out tap out tap out tap out  tap out tap out tap out tap out tap out  tap out tap out tap out tap out tap out  tap out tap out tap out tap out tap out  tap out tap out tap out tap out tap out out  tap out tap out tap out tap out tap out  tap out tap out tap out tap out tap out  tap out tap out tap out tap out tap out  tap out tap out tap out tap out tap out  tap out tap out tap out tap out tap out  tap out tap out tap out tap out tap out out  tap out tap out tap out tap out tap out  tap out tap out tap out tap out tap out  tap out tap out tap out tap out tap out  tap out tap out tap out tap out tap out  tap out tap out tap out tap out tap out  tap out tap out tap out tap out tap out” “I cant breathe help me” tap out.,Negative
1541,"9:10 ""U GO DOWN BUDDY!""🤣",Neutral
1542,Dumbest shit ever she is retarded,Negative
1543,Cheers for using korean product,Positive
1544,Over acting,Neutral
1545,Absolutely STUPID PRANK!!! You need to catch a wake up doing shit like that!!,Negative
1546,By 2:38 min. I know your a$$ is evil. I hope he doesn't die!,Positive
1547,The bodies he was making had me ded😂😂😂💀💀,Neutral
1548,This video made me hungry and I watched it and I had to eat noodles,Neutral
1549,doctor worry  pants,Negative
1550,10:20 whenever I eat spicy food,Neutral
1551,How to kill your boyfriend,Negative
1552,Lol those screams....,Positive
1553,Lmao you guys are the best,Positive
1554,"Haaaaaa, haaaaaaa😂😂😂",Neutral
1555,this is boyfriend abuse hahahaha,Negative
1556,wwait a minute at starting at the video what is in her tummy? belly or other...,Neutral
1557,Wow your prank better than your boyfriend,Positive
1558,and how does the doctor have the time to watch youtube?   #fakenews,Neutral
1559,His face😂😂😂🤣,Neutral
1560,Fuckin dangerous... That's exactly why the woman was reluctant to sell you the sauce.,Negative
1561,The excitement in her face is priceless. But wow they are way too committed to the prank.  In the moment they don’t back down.,Positive
1562,Sometimes pranks go too far!  You can really hurt someone with that amount of heat!,Negative
1563,"So slaiman turns gay when his mouth burns, ok.",Positive
1564,Psycho twat,Negative
1565,Ahh this screams olcer,Negative
1566,Does any one know what their called can't really see the name,Neutral
1567,I feel like they are gonna break up for this,Positive
1568,That laugh makes me laugh so hard.,Positive
1569,You’re so mean girl it’s not funny,Negative
1570,10:21 i lost it lmaoooooo,Negative
1571,The way Simon started screaming🤣🤣🤣🤣,Neutral
1572,this is cold blooded man,Neutral
1573,"best vedio of yours no emotional pain , just fun 😂😂😂👍👍",Positive
1574,thuglife,Neutral
1575,This is freaking funny kate! Your freaking awesome! Nextime put some dog shit on his food! Hahaha,Positive
1576,"Boundaries... What is the deal with her coming back from a trip and Slaiman acting like he doesn't care.  You two realize that you should feel safe, loved, and wanted in a relationship?",Positive
1577,Omg lol😂😂😂😂,Neutral
1578,He said he can't breathe...... Why turn off the water....wow,Neutral
1579,"when I came out of it, she would not be alive and I would be serving a life sentence,  total disrespect, evil bitch!!!!",Negative
1580,What brand of noodles did you use?,Neutral
1581,This is fixed,Neutral
1582,"""I m gonna beat u"" kate that was epic",Neutral
1583,His scream oh my god I’m laughing so hardd,Positive
1584,He kinda knew,Neutral
1585,give this to an indian and he will belch afterwards.,Neutral
1586,10:21 'HAAA! HAAA!',Neutral
1587,Kkkkjjjkk esse povo é doido,Neutral
1588,Amazingly done,Neutral
1589,I don’t like that what if something happened????? My god  ( babe is it that bad ) why don’t you tray it yourself girl my god,Positive
1590,"He dealt with it well. Like, actually, I would've passed out. He was pretty calm.",Positive
1591,Do you realize how dangerous doing shit like this is? Dumbasses,Negative
1592,Great Job Katie  😂😂😂😂😂,Positive
1593,Kate was just taking small bites.,Neutral
1594,haaa haaa why is so hot im cry from laugh omg that was very funny and btw if u wantto come visit greece sent me messenge,Positive
